Symbol	Description
ILSJOD	ILS / JOD
ILSJPY	ILS / JPY
ILSNOK	
ILSPLN	Israeli Shekel / Polish Zloty
ILSSEK	ILS / SEK
ILSUSD	Israeli Shekel / US Dollar
ILSZAR	
INRAUD	INR / AUD
INRCAD	INR / CAD
INRCHF	INR / CHF
INRCNY	INR / CNY
INREUR	INR / EUR
INRGBP	INR / GBP
INRHKD	INR / HKD
INRJPY	INR / JPY
INRKRW	INR / KRW
INRMYR	INR / MYR
INRNZD	INR / NZD
INRPKR	Indian Rupee / Pakistani Rupee
INRSEK	INR / SEK
INRSGD	
INRTHB	INR / THB
INRTWD	INR / TWD
INRUSD	INR / USD
INRZAR	INR / ZAR
IQDGBP	IQD / GBP
IQDUSD	
ISKCHF	ISK / CHF
ISKDKK	ISK / DKK
ISKGBP	ISK / GBP
ISKUSD	
J6Y0	
JMDEUR	
JMDGBP	JMD / GBP
JMDUSD	
JODAED	JOD / AED
JODEUR	JOD / EUR
JODILS	JOD / ILS
JODUSD	Jordan Dinar / US Dollar
JPYAED	JPY / AED
JPYARS	JPY / ARS
JPYAUD	JPY / AUD
JPYBRL	JPY / BRL
JPYCAD	JPY / CAD
JPYCHF	JPY / CHF
JPYCLP	Japanese Yen / Chilean Peso
JPYCNY	JPY / CNY
JPYCZK	JPY / CZK
JPYDKK	JPY / DKK
JPYEUR	JPY / EUR
JPYEUR.1	
JPYEUR.2	
JPYEUR.A	
JPYEUR.B	
JPYEUR.C	
JPYEUR.D	
JPYEUR.E	
JPYEUR.G	
JPYEUR.H	
JPYEUR.J	
JPYEUR.K	
JPYEUR.M	
JPYEUR.N	
JPYEUR.O	
JPYEUR.Q	
JPYEUR.S	
JPYEUR.U	
JPYEUR.V	
JPYEUR.X	
JPYGBP	JPY / GBP
JPYHKD	JPY / HKD
JPYIDR	JPY / IDR
JPYILS	JPY / ILS
JPYINR	JPY / INR
JPYKRW	JPY / KRW
JPYMXN	JPY / MXN
JPYMYR	JPY / MYR
JPYNOK	JPY / NOK
JPYNZD	JPY / NZD
JPYNZD.1	
JPYNZD.2	
JPYNZD.A	
JPYNZD.B	
JPYNZD.C	
JPYNZD.D	
JPYNZD.E	
JPYNZD.G	
JPYNZD.H	
JPYNZD.J	
JPYNZD.K	
JPYNZD.M	
JPYNZD.N	
JPYNZD.O	
JPYNZD.Q	
JPYNZD.S	
JPYNZD.U	
JPYNZD.V	
JPYNZD.X	
JPYPKR	Japanese Yen / Pakistani Rupee
JPYPLN	JPY / PLN
JPYRSD	
JPYRUB	JPY / RUB
JPYSAR	
JPYSEK	JPY / SEK
JPYTHB	JPY / THB
JPYTWD	JPY / TWD
JPYUSD	JPY / USD
JPYZAR	JPY / ZAR
JYY0	
KESUSD	KES / USD
KESZAR	KES / ZAR
KHRGBP	
KHRUSD	
KMFGBP	
KMFUSD	KMF / USD
KRWAUD	KRW / AUD
KRWBRL	KRW / BRL
KRWCAD	KRW / CAD
KRWCHF	KRW / CHF
KRWCNY	KRW / CNY
KRWEUR	KRW / EUR
KRWGBP	KRW / GBP
KRWHKD	KRW / HKD
KRWIDR	KRW / IDR
KRWINR	KRW / INR
KRWJPY	KRW / JPY
KRWMYR	KRW / MYR
KRWNZD	KRW / NZD
KRWRUB	KRW / RUB
KRWSEK	KRW / SEK
KRWSGD	KRW / SGD
KRWTHB	KRW / THB
KRWTWD	KRW / TWD
KRWUSD	KRW / USD
KRWZAR	KRW / ZAR
KWDAED	KWD / AED
KWDEUR	
KWDGBP	KWD / GBP
KWDPKR	Kuwaiti Dinar / Pakistani Rupee
KWDUSD	KWD / USD
KYDBMD	
KYDCAD	
KYDEUR	
KYDGBP	
KYDUSD	
KZTGBP	KZT / GBP
KZTUSD	
L6Y0	
LAKGBP	
LAKUSD	
LBPUSD	LBP / USD
LKRGBP	
LKRUSD	LKR / USD
LKRZAR	
LRDGBP	
LRDUSD	LRD / USD
LSLGBP	
LSLUSD	
LYDGBP	
LYDUSD	
M6Y0	
MADAUD	
MADGBP	MAD / GBP
MADUSD	MAD / USD
MADZAR	
MDLEUR	MDL / EUR
MDLGBP	
MDLUSD	MDL / USD
MGAGBP	
MGAUSD	
